dataset,model,seed,user_id,item_id,rating,prediction,user_gate,item_gate,review_scale
Amazon_All_Beauty_18,CFARG,42,109,29,5.0,-7.712282240390778e-06,0.1675536334514618,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,73,29,5.0,0.0059083872474730015,0.7409186363220215,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,732,23,4.0,0.008950425311923027,0.22920595109462738,0.014123469591140747,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,714,5,5.0,0.003318280912935734,0.1302175521850586,0.19962316751480103,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,356,29,5.0,-0.007688014302402735,0.22250692546367645,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,979,29,1.0,0.007387788500636816,0.43985581398010254,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,879,49,3.0,-0.004771767184138298,0.23320209980010986,0.027477003633975983,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,258,29,5.0,0.018832461908459663,0.3582593500614166,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,376,43,5.0,-0.0008909788448363543,0.26523882150650024,0.11160848289728165,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,188,75,5.0,-0.003384257201105356,0.06374850869178772,0.03903557360172272,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,198,29,5.0,0.006923585198819637,0.24205076694488525,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,576,29,5.0,0.014884043484926224,0.3248711824417114,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,547,29,5.0,0.009707814082503319,0.31812387704849243,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,270,29,5.0,0.009900344535708427,0.07978767901659012,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,411,29,5.0,0.01705217733979225,0.5560446977615356,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,526,75,5.0,0.00386235979385674,0.3111964464187622,0.03903557360172272,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,117,29,5.0,0.01054728776216507,0.3403875529766083,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,672,5,1.0,-0.001660296693444252,0.07784229516983032,0.19962316751480103,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,637,29,5.0,0.006794456392526627,0.33620506525039673,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,977,27,5.0,0.006304780952632427,0.10733731836080551,0.0293900053948164,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,824,29,5.0,0.0017031789757311344,0.23550967872142792,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,427,29,5.0,-0.01664845459163189,0.34791630506515503,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,610,0,5.0,0.007619298994541168,0.10657300800085068,0.03767446428537369,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,53,29,5.0,0.003296247450634837,0.08038964122533798,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,646,6,5.0,0.004132554866373539,0.4823802411556244,0.2121317982673645,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,860,29,5.0,-0.011124292388558388,0.15354755520820618,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,895,75,5.0,0.004886328242719173,0.05166425555944443,0.03903557360172272,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,954,5,5.0,-0.002806037664413452,0.032532140612602234,0.19962316751480103,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,803,29,5.0,0.0012429160997271538,0.1023525595664978,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,890,5,5.0,-0.007298235781490803,0.5494034886360168,0.19962316751480103,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,693,75,5.0,0.009775085374712944,0.5204141736030579,0.03903557360172272,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,276,29,4.0,0.006319088861346245,0.18788303434848785,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,290,9,5.0,0.0009877241682261229,0.06846342235803604,0.041097935289144516,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,728,59,5.0,-0.00014608982019126415,0.05358120799064636,0.10694089531898499,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,53,29,5.0,0.003296247450634837,0.08038964122533798,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,595,13,5.0,0.005346989259123802,0.08796273916959763,0.30168285965919495,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,342,6,5.0,0.005557789467275143,0.14536935091018677,0.2121317982673645,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,561,1,5.0,0.011660810559988022,0.20166218280792236,0.10963603109121323,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,725,13,5.0,0.00556525681167841,0.25196030735969543,0.30168285965919495,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,579,29,5.0,-0.005486424546688795,0.31959816813468933,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,106,29,5.0,0.011494811624288559,0.6959894299507141,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,277,6,5.0,-0.00506350863724947,0.01794639229774475,0.2121317982673645,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,779,75,5.0,0.008007247000932693,0.19665248692035675,0.03903557360172272,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,783,40,1.0,0.010597949847579002,0.08120904117822647,0.05082586407661438,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,220,29,5.0,0.0087975412607193,0.41266098618507385,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,621,1,4.0,-0.0010379375889897346,0.3515756130218506,0.10963603109121323,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,231,6,5.0,0.0031366152688860893,0.07975354045629501,0.2121317982673645,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,463,40,5.0,0.020922012627124786,0.24309346079826355,0.05082586407661438,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,839,29,5.0,0.010249118320643902,0.5585415363311768,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,9,83,5.0,0.0040037743747234344,0.06529447436332703,0.046869002282619476,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,399,6,5.0,0.003198271617293358,0.41013774275779724,0.2121317982673645,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,490,29,5.0,0.0027779708616435528,0.1377774477005005,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,213,29,5.0,-0.0022995020262897015,0.11232376098632812,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,693,75,5.0,0.009775085374712944,0.5204141736030579,0.03903557360172272,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,638,29,5.0,0.015233537182211876,0.3575243353843689,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,131,13,5.0,0.0001840740442276001,0.2383544147014618,0.30168285965919495,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,903,29,5.0,0.0005231057293713093,0.1259445697069168,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,804,29,5.0,0.00599166564643383,0.19540362060070038,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,468,40,5.0,-0.005222513806074858,0.2722427546977997,0.05082586407661438,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,10,75,5.0,0.008339191786944866,0.0882653146982193,0.03903557360172272,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,896,29,5.0,0.01043635606765747,0.4821200966835022,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,986,29,5.0,0.01893577165901661,0.20119471848011017,0.47291266918182373,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,156,75,5.0,0.015020579099655151,0.11111186444759369,0.03903557360172272,0.0994635820388794
Amazon_All_Beauty_18,CFARG,42,924,29,5.0,0.0025327648036181927,0.07720179855823517,0.47291266918182373,0.0994635820388794
Amazon_Musical_Instruments_14,CFARG,42,1254,148,5.0,4.637101650238037,0.9999986886978149,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,559,730,4.0,4.186411380767822,0.9999986886978149,0.9999996423721313,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,483,401,3.0,4.22394323348999,0.9999986886978149,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,217,295,5.0,4.529373645782471,0.9999961853027344,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1284,293,5.0,4.051356315612793,0.9999988079071045,0.9993815422058105,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,246,154,5.0,4.980620384216309,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,590,44,5.0,4.694873809814453,0.9999986886978149,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,176,679,5.0,4.5285444259643555,0.999998927116394,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1043,335,5.0,4.482574939727783,0.9999979734420776,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1226,687,4.0,3.7364907264709473,0.9985612034797668,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1343,87,5.0,4.39980411529541,0.9999990463256836,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1050,651,2.0,3.658780574798584,0.9983354210853577,0.999994158744812,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1384,198,5.0,4.743073463439941,0.9999984502792358,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1125,683,5.0,4.700311183929443,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,615,822,5.0,4.439392566680908,0.9999985694885254,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,662,512,5.0,4.287011623382568,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,712,764,5.0,4.002493381500244,0.9999983310699463,0.9999992847442627,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,646,303,5.0,4.567846298217773,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1319,249,4.0,4.656557083129883,0.9999986886978149,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,325,91,5.0,4.259734630584717,0.9999985694885254,0.9999997615814209,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,385,265,4.0,4.311731815338135,0.9999984502792358,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1096,285,5.0,4.624502658843994,0.999998927116394,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1184,634,5.0,4.033931255340576,0.9999889135360718,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1064,198,5.0,4.42735481262207,0.9987379908561707,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,447,71,4.0,4.297970294952393,0.9999984502792358,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1353,128,4.0,4.107314109802246,0.9999985694885254,0.9999997615814209,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,488,198,4.0,4.621484756469727,0.9999977350234985,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,954,705,5.0,4.444034099578857,0.9999982118606567,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,352,842,5.0,4.389931678771973,0.9999988079071045,0.9999996423721313,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1224,592,5.0,4.450535297393799,0.9999984502792358,0.9999997615814209,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,978,897,5.0,4.257925033569336,0.9993206262588501,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,560,351,4.0,4.389169216156006,0.9999983310699463,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1229,772,5.0,4.1961493492126465,0.9999986886978149,0.999607503414154,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,605,452,4.0,3.794200897216797,0.999996542930603,0.9997298121452332,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,145,208,5.0,4.705864906311035,0.9999988079071045,0.9999959468841553,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1187,502,2.0,4.0272393226623535,0.9999984502792358,0.9995300769805908,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1090,709,5.0,4.431956768035889,0.999998927116394,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,759,242,5.0,4.770419597625732,0.9999990463256836,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1038,444,4.0,4.17747163772583,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1123,373,5.0,3.5839221477508545,0.9972590208053589,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,827,501,4.0,3.8653533458709717,0.9989080429077148,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,585,577,5.0,4.342109203338623,0.9999988079071045,0.9999959468841553,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,942,661,4.0,4.376379489898682,0.999998927116394,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1090,103,5.0,4.635180473327637,0.999998927116394,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,243,104,5.0,4.590242385864258,0.9999984502792358,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,376,387,5.0,4.603183269500732,0.9999982118606567,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,309,73,3.0,4.151472091674805,0.9994599223136902,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,169,61,5.0,4.697659015655518,0.9999985694885254,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,399,243,3.0,3.9791831970214844,0.9999972581863403,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1287,832,5.0,4.170310020446777,0.9999678134918213,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1163,198,4.0,4.756269454956055,0.9999984502792358,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,369,279,3.0,4.572937965393066,0.9999988079071045,0.9999997615814209,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1320,897,5.0,4.577341079711914,0.9999984502792358,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1232,39,5.0,4.6212239265441895,0.9999979734420776,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1326,760,4.0,4.471993923187256,0.9999964237213135,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1248,319,5.0,4.0447306632995605,0.9991747736930847,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1098,304,5.0,4.301248550415039,0.9999978542327881,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1176,843,5.0,4.517879009246826,0.9999985694885254,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,895,171,5.0,4.683593273162842,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,821,759,4.0,3.9782207012176514,0.9999983310699463,0.9999997615814209,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,65,803,5.0,4.633052349090576,0.9999986886978149,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,355,258,5.0,4.682733535766602,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,828,295,4.0,4.232675552368164,0.9988864064216614,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1239,586,5.0,4.408308982849121,0.9999966621398926,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,858,207,5.0,4.721615314483643,0.9999985694885254,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,987,21,4.0,4.287761688232422,0.9999980926513672,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1137,94,5.0,4.406968593597412,0.9999983310699463,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,651,428,5.0,4.251798629760742,0.9987919926643372,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1067,734,5.0,4.151440620422363,0.9999980926513672,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1096,237,4.0,4.436321258544922,0.999998927116394,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,924,657,3.0,4.167699337005615,0.999998927116394,0.9999954700469971,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,587,74,5.0,4.0878729820251465,0.9978321194648743,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,550,516,4.0,4.380478382110596,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,332,590,3.0,4.278600692749023,0.9999990463256836,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,232,335,5.0,4.54967737197876,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,329,226,5.0,4.896932601928711,0.9999985694885254,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,813,159,4.0,4.449099063873291,0.9994459748268127,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,459,281,4.0,3.8205490112304688,0.9999974966049194,0.9991088509559631,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,550,572,5.0,4.467780590057373,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,510,367,5.0,4.406447410583496,0.9999983310699463,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,145,779,5.0,4.985058307647705,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,188,27,5.0,4.826834201812744,0.9999985694885254,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,517,377,5.0,4.91739559173584,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,37,285,5.0,4.814479351043701,0.999998927116394,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1419,289,5.0,4.395586967468262,0.9999986886978149,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1299,52,5.0,4.080167293548584,0.9999979734420776,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,896,279,5.0,4.471526145935059,0.9999984502792358,0.9999997615814209,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1416,53,5.0,4.808054447174072,0.9999990463256836,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,660,95,5.0,4.576894760131836,0.9999985694885254,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1428,699,5.0,4.079187393188477,0.9989317059516907,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1168,338,5.0,4.4202985763549805,0.9999985694885254,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1131,46,5.0,4.411445140838623,0.9999986886978149,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,87,858,5.0,4.7744855880737305,0.9999982118606567,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,451,766,5.0,4.604463577270508,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1394,519,5.0,4.507505416870117,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1277,44,5.0,4.63724422454834,0.9999986886978149,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1175,592,5.0,4.384471416473389,0.999998927116394,0.9999997615814209,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1343,823,5.0,4.405209541320801,0.9999990463256836,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,145,457,4.0,4.875206470489502,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1221,411,4.0,3.9465599060058594,0.9999984502792358,0.9996311664581299,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,69,276,5.0,4.819115161895752,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,348,130,4.0,4.653226375579834,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,247,417,4.0,4.37179708480835,0.9999984502792358,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,498,809,5.0,3.8088760375976562,0.998806357383728,0.999666690826416,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,126,267,1.0,3.7947216033935547,0.99992835521698,0.9996213912963867,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1161,591,1.0,3.426177978515625,0.997647225856781,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,906,205,5.0,3.664327621459961,0.9990091323852539,0.9995113611221313,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1129,114,5.0,3.7415595054626465,0.9999980926513672,0.9996289014816284,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1274,355,4.0,4.4688334465026855,0.9999986886978149,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1038,46,4.0,4.449657917022705,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,986,337,5.0,4.71236515045166,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,903,654,5.0,4.315789699554443,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1083,891,1.0,4.14475154876709,0.9988840222358704,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,962,232,3.0,4.194521903991699,0.999748170375824,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,1075,890,5.0,4.340021133422852,0.9999988079071045,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,65,882,5.0,4.51069450378418,0.9999986886978149,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,7,424,5.0,4.576719284057617,0.9999979734420776,0.9999998807907104,0.4287164807319641
Amazon_Musical_Instruments_14,CFARG,42,506,877,5.0,4.705589294433594,0.999998927116394,0.9999998807907104,0.4287164807319641
