dataset,model,seed,rmse,mae,best_epoch,avg_user_gate,avg_item_gate,std_user_gate,std_item_gate,review_scale,avg_user_cos,avg_item_cos,avg_user_injection_ratio,avg_item_injection_ratio,config_path,checkpoint_path
Amazon_Musical_Instruments_14,CF-only,42,0.8452792763710022,0.6369062662124634,100,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_180211/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_180211/cfarg_best.pt
Amazon_Musical_Instruments_14,Whole-review fusion,42,0.8735762238502502,0.6472644805908203,36,1.0,1.0,0.0,0.0,0.10000000149011612,0.9406176209449768,0.956572949886322,3.908118486404419,2.2215988636016846,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_180248/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_180248/cfarg_best.pt
Amazon_Musical_Instruments_14,CFARG-gate-control,42,0.8861432671546936,0.6674407124519348,26,0.9922093152999878,0.9927011728286743,0.021006645634770393,0.01051009725779295,0.10000000149011612,0.9897117018699646,0.9945956468582153,3.157280683517456,2.422295093536377,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_180312/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_180312/cfarg_best.pt
Amazon_Musical_Instruments_14,CF-only,43,0.8454153537750244,0.6371768712997437,100,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_180403/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_180403/cfarg_best.pt
Amazon_Musical_Instruments_14,Whole-review fusion,43,0.8897472620010376,0.6657780408859253,29,1.0,1.0,0.0,0.0,0.10000000149011612,0.9607003331184387,0.9764554500579834,3.411618947982788,2.4774584770202637,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_180437/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_180437/cfarg_best.pt
Amazon_Musical_Instruments_14,CFARG-gate-control,43,0.8917981386184692,0.6669773459434509,29,0.991372287273407,0.9930576086044312,0.021956881508231163,0.0023212090600281954,0.10000000149011612,0.9771496057510376,0.9952369332313538,3.4356329441070557,2.447199583053589,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_180459/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_180459/cfarg_best.pt
Amazon_Musical_Instruments_14,CF-only,44,0.8443530201911926,0.6367934942245483,100,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_180555/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_180555/cfarg_best.pt
Amazon_Musical_Instruments_14,Whole-review fusion,44,0.8871648907661438,0.6623339653015137,29,1.0,1.0,0.0,0.0,0.10000000149011612,0.9605494141578674,0.9775061011314392,3.354180335998535,2.1040232181549072,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_180625/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_180625/cfarg_best.pt
Amazon_Musical_Instruments_14,CFARG-gate-control,44,0.8889816403388977,0.6661550998687744,28,0.9913491606712341,0.9930568337440491,0.020116358995437622,0.0021756496280431747,0.10000000149011612,0.976070761680603,0.9952695965766907,3.2873973846435547,2.161649703979492,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_180645/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_180645/cfarg_best.pt
Amazon_Office_Products_14,CF-only,42,0.8576391935348511,0.636803925037384,53,0.0,0.0,0.0,0.0,0.10000001639127731,0.0,0.0,0.0,0.0,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_180739/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_180739/cfarg_best.pt
Amazon_Office_Products_14,Whole-review fusion,42,0.8577195405960083,0.6414881348609924,13,1.0,1.0,0.0,0.0,0.10000001639127731,0.5203856229782104,0.7909497618675232,24.781091690063477,12.439249038696289,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_180914/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_180914/cfarg_best.pt
Amazon_Office_Products_14,CFARG-gate-control,42,0.8662996888160706,0.6415073275566101,13,0.9649742841720581,0.9772377610206604,0.06987977772951126,0.06274078041315079,0.10000001639127731,0.8233775496482849,0.8963337540626526,34.62525177001953,14.31103515625,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_181004/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_181004/cfarg_best.pt
Amazon_Office_Products_14,CF-only,43,0.8578103184700012,0.6382144093513489,50,0.0,0.0,0.0,0.0,0.10000001639127731,0.0,0.0,0.0,0.0,./outputs/cfarg_Amazon_Office_Products_14_43_20260605_181200/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_43_20260605_181200/cfarg_best.pt
