dataset,model,seed,user_id,item_id,rating,prediction,user_gate,item_gate
Amazon_Musical_Instruments_14,CFARG,42,1254,148,5.0,4.960482597351074,0.9999814033508301,0.9999872446060181
Amazon_Musical_Instruments_14,CFARG,42,559,730,4.0,4.172629356384277,0.9999685287475586,0.9999712705612183
Amazon_Musical_Instruments_14,CFARG,42,483,401,3.0,4.1761932373046875,0.9999315738677979,0.9999639987945557
Amazon_Musical_Instruments_14,CFARG,42,217,295,5.0,4.51297664642334,0.9998424053192139,0.9999872446060181
Amazon_Musical_Instruments_14,CFARG,42,1284,293,5.0,3.64829158782959,0.9999743700027466,0.9999423027038574
Amazon_Musical_Instruments_14,CFARG,42,246,154,5.0,5.117380619049072,0.9999918937683105,0.9999872446060181
Amazon_Musical_Instruments_14,CFARG,42,590,44,5.0,4.876204013824463,0.9999849796295166,0.999987006187439
Amazon_Musical_Instruments_14,CFARG,42,176,679,5.0,4.426810264587402,0.9999513626098633,0.9999814033508301
Amazon_Musical_Instruments_14,CFARG,42,1043,335,5.0,4.641480445861816,0.9999903440475464,0.9999796152114868
Amazon_Musical_Instruments_14,CFARG,42,1226,687,4.0,3.6304876804351807,0.9992640614509583,0.999977707862854
Amazon_Musical_Instruments_14,CFARG,42,1343,87,5.0,4.298694610595703,0.9999853372573853,0.9999711513519287
Amazon_Musical_Instruments_14,CFARG,42,1050,651,2.0,3.534362554550171,0.9996613264083862,0.9999668598175049
Amazon_Musical_Instruments_14,CFARG,42,1384,198,5.0,5.023763179779053,0.9999918937683105,0.9999854564666748
Amazon_Musical_Instruments_14,CFARG,42,1125,683,5.0,4.863466262817383,0.9999957084655762,0.9999725818634033
Amazon_Musical_Instruments_14,CFARG,42,615,822,5.0,4.591892242431641,0.9999970197677612,0.9999641180038452
Amazon_Musical_Instruments_14,CFARG,42,662,512,5.0,4.563041687011719,0.9999561309814453,0.9999935626983643
Amazon_Musical_Instruments_14,CFARG,42,712,764,5.0,4.002391338348389,0.9999918937683105,0.9999605417251587
Amazon_Musical_Instruments_14,CFARG,42,646,303,5.0,4.686318874359131,0.9999641180038452,0.9999868869781494
Amazon_Musical_Instruments_14,CFARG,42,1319,249,4.0,4.86884069442749,0.9999866485595703,0.9999796152114868
Amazon_Musical_Instruments_14,CFARG,42,325,91,5.0,4.295723915100098,0.9999808073043823,0.9999681711196899
Amazon_Musical_Instruments_14,CFARG,42,385,265,4.0,4.088591575622559,0.9999748468399048,0.9999021291732788
Amazon_Musical_Instruments_14,CFARG,42,1096,285,5.0,4.678863525390625,0.9999697208404541,0.9999773502349854
Amazon_Musical_Instruments_14,CFARG,42,1184,634,5.0,4.2941436767578125,0.9999462366104126,0.9999641180038452
Amazon_Musical_Instruments_14,CFARG,42,1064,198,5.0,4.352303504943848,0.9996564388275146,0.9999854564666748
Amazon_Musical_Instruments_14,CFARG,42,447,71,4.0,4.256613254547119,0.9999399185180664,0.9999687671661377
Amazon_Musical_Instruments_14,CFARG,42,1353,128,4.0,3.956650733947754,0.9999756813049316,0.9999039173126221
Amazon_Musical_Instruments_14,CFARG,42,488,198,4.0,4.701180934906006,0.9999779462814331,0.9999854564666748
Amazon_Musical_Instruments_14,CFARG,42,954,705,5.0,4.203252792358398,0.9998883008956909,0.9999814033508301
Amazon_Musical_Instruments_14,CFARG,42,352,842,5.0,4.3148579597473145,0.9999918937683105,0.9999589920043945
Amazon_Musical_Instruments_14,CFARG,42,1224,592,5.0,4.817728519439697,0.999997615814209,0.9999761581420898
Amazon_Musical_Instruments_14,CFARG,42,978,897,5.0,4.287562370300293,0.9995174407958984,0.9999902248382568
Amazon_Musical_Instruments_14,CFARG,42,560,351,4.0,4.2480926513671875,0.9998795986175537,0.999976396560669
Amazon_Musical_Instruments_14,CFARG,42,1229,772,5.0,4.380772590637207,0.9999929666519165,0.9999783039093018
Amazon_Musical_Instruments_14,CFARG,42,605,452,4.0,3.399165391921997,0.9997338652610779,0.9999077320098877
Amazon_Musical_Instruments_14,CFARG,42,145,208,5.0,4.939337730407715,0.9999991655349731,0.9999743700027466
Amazon_Musical_Instruments_14,CFARG,42,1187,502,2.0,3.834045886993408,0.9997639060020447,0.9999840259552002
Amazon_Musical_Instruments_14,CFARG,42,1090,709,5.0,4.446669578552246,0.9999415874481201,0.9999760389328003
Amazon_Musical_Instruments_14,CFARG,42,759,242,5.0,4.819195747375488,0.999991774559021,0.9999740123748779
Amazon_Musical_Instruments_14,CFARG,42,1038,444,4.0,3.901520252227783,0.9999783039093018,0.9999297857284546
Amazon_Musical_Instruments_14,CFARG,42,1123,373,5.0,3.6263670921325684,0.9982841610908508,0.9999682903289795
Amazon_Musical_Instruments_14,CFARG,42,827,501,4.0,3.552459716796875,0.9994171857833862,0.9999539852142334
Amazon_Musical_Instruments_14,CFARG,42,585,577,5.0,4.494217872619629,0.9999887943267822,0.9999773502349854
Amazon_Musical_Instruments_14,CFARG,42,942,661,4.0,4.5533270835876465,0.9999808073043823,0.9999833106994629
Amazon_Musical_Instruments_14,CFARG,42,1090,103,5.0,4.692643165588379,0.9999415874481201,0.9999841451644897
Amazon_Musical_Instruments_14,CFARG,42,243,104,5.0,4.777099132537842,0.9999579191207886,0.9999876022338867
Amazon_Musical_Instruments_14,CFARG,42,376,387,5.0,4.8747406005859375,0.9999587535858154,0.9999880790710449
Amazon_Musical_Instruments_14,CFARG,42,309,73,3.0,4.337833881378174,0.9998873472213745,0.9999808073043823
Amazon_Musical_Instruments_14,CFARG,42,169,61,5.0,4.866086006164551,0.9999105930328369,0.999984860420227
Amazon_Musical_Instruments_14,CFARG,42,399,243,3.0,4.142399311065674,0.9999258518218994,0.9999582767486572
Amazon_Musical_Instruments_14,CFARG,42,1287,832,5.0,4.3951311111450195,0.999890923500061,0.9999874830245972
Amazon_Musical_Instruments_14,CFARG,42,1163,198,4.0,4.825394153594971,0.9999915361404419,0.9999854564666748
Amazon_Musical_Instruments_14,CFARG,42,369,279,3.0,4.64858341217041,0.9999876022338867,0.9999796152114868
Amazon_Musical_Instruments_14,CFARG,42,1320,897,5.0,4.564272880554199,0.9999626874923706,0.9999902248382568
Amazon_Musical_Instruments_14,CFARG,42,1232,39,5.0,5.168061256408691,0.9999951124191284,0.9999908208847046
Amazon_Musical_Instruments_14,CFARG,42,1326,760,4.0,4.490813732147217,0.9998798370361328,0.9999816417694092
Amazon_Musical_Instruments_14,CFARG,42,1248,319,5.0,3.6987040042877197,0.9995526671409607,0.9999723434448242
Amazon_Musical_Instruments_14,CFARG,42,1098,304,5.0,4.294290065765381,0.9998144507408142,0.9999788999557495
Amazon_Musical_Instruments_14,CFARG,42,1176,843,5.0,4.638296604156494,0.9999359846115112,0.9999885559082031
Amazon_Musical_Instruments_14,CFARG,42,895,171,5.0,4.980525970458984,0.9999948740005493,0.9999839067459106
Amazon_Musical_Instruments_14,CFARG,42,821,759,4.0,3.8805346488952637,0.9998799562454224,0.999953031539917
Amazon_Musical_Instruments_14,CFARG,42,65,803,5.0,4.774399757385254,0.9999815225601196,0.9999786615371704
Amazon_Musical_Instruments_14,CFARG,42,355,258,5.0,4.866950988769531,0.9999946355819702,0.999980092048645
Amazon_Musical_Instruments_14,CFARG,42,828,295,4.0,4.158082962036133,0.9990134239196777,0.9999872446060181
Amazon_Musical_Instruments_14,CFARG,42,1239,586,5.0,4.570455551147461,0.9999103546142578,0.999991774559021
Amazon_Musical_Instruments_14,CFARG,42,858,207,5.0,4.863863945007324,0.9999864101409912,0.9999818801879883
Amazon_Musical_Instruments_14,CFARG,42,987,21,4.0,4.295975208282471,0.9999130964279175,0.9999780654907227
Amazon_Musical_Instruments_14,CFARG,42,1137,94,5.0,4.6296844482421875,0.9999819993972778,0.9999699592590332
Amazon_Musical_Instruments_14,CFARG,42,651,428,5.0,3.962953567504883,0.9977403879165649,0.9999872446060181
Amazon_Musical_Instruments_14,CFARG,42,1067,734,5.0,4.176034450531006,0.9998751878738403,0.9999735355377197
Amazon_Musical_Instruments_14,CFARG,42,1096,237,4.0,4.419565200805664,0.9999697208404541,0.9999692440032959
Amazon_Musical_Instruments_14,CFARG,42,924,657,3.0,4.190733432769775,0.999963641166687,0.9999616146087646
Amazon_Musical_Instruments_14,CFARG,42,587,74,5.0,4.0365986824035645,0.9995326995849609,0.9999825954437256
Amazon_Musical_Instruments_14,CFARG,42,550,516,4.0,4.398349761962891,0.9999948740005493,0.9999793767929077
Amazon_Musical_Instruments_14,CFARG,42,332,590,3.0,4.271280288696289,0.9999736547470093,0.9999810457229614
Amazon_Musical_Instruments_14,CFARG,42,232,335,5.0,4.653598785400391,0.9999905824661255,0.9999796152114868
Amazon_Musical_Instruments_14,CFARG,42,329,226,5.0,4.948356628417969,0.9999891519546509,0.999984622001648
Amazon_Musical_Instruments_14,CFARG,42,813,159,4.0,4.308804988861084,0.9995397329330444,0.999991774559021
Amazon_Musical_Instruments_14,CFARG,42,459,281,4.0,3.429464101791382,0.9999760389328003,0.9999431371688843
Amazon_Musical_Instruments_14,CFARG,42,550,572,5.0,4.612290382385254,0.9999948740005493,0.999974250793457
Amazon_Musical_Instruments_14,CFARG,42,510,367,5.0,4.500074863433838,0.9999871253967285,0.9999741315841675
Amazon_Musical_Instruments_14,CFARG,42,145,779,5.0,5.141501426696777,0.9999991655349731,0.9999812841415405
Amazon_Musical_Instruments_14,CFARG,42,188,27,5.0,5.057343006134033,0.9999932050704956,0.9999828338623047
Amazon_Musical_Instruments_14,CFARG,42,517,377,5.0,5.152017116546631,0.9999966621398926,0.9999901056289673
Amazon_Musical_Instruments_14,CFARG,42,37,285,5.0,4.8498215675354,0.999993085861206,0.9999773502349854
Amazon_Musical_Instruments_14,CFARG,42,1419,289,5.0,4.4423394203186035,0.9998897314071655,0.9999905824661255
Amazon_Musical_Instruments_14,CFARG,42,1299,52,5.0,3.7491159439086914,0.9999449253082275,0.9999386072158813
Amazon_Musical_Instruments_14,CFARG,42,896,279,5.0,4.67535924911499,0.999990701675415,0.9999796152114868
Amazon_Musical_Instruments_14,CFARG,42,1416,53,5.0,5.010992527008057,0.9999978542327881,0.9999892711639404
Amazon_Musical_Instruments_14,CFARG,42,660,95,5.0,4.7756500244140625,0.9999932050704956,0.9999827146530151
Amazon_Musical_Instruments_14,CFARG,42,1428,699,5.0,3.702587604522705,0.9987917542457581,0.9999901056289673
Amazon_Musical_Instruments_14,CFARG,42,1168,338,5.0,4.525420665740967,0.9999841451644897,0.9999724626541138
Amazon_Musical_Instruments_14,CFARG,42,1131,46,5.0,4.611315727233887,0.9999805688858032,0.9999716281890869
Amazon_Musical_Instruments_14,CFARG,42,87,858,5.0,4.984159469604492,0.9999920129776001,0.9999889135360718
Amazon_Musical_Instruments_14,CFARG,42,451,766,5.0,4.555901527404785,0.9999963045120239,0.9999686479568481
Amazon_Musical_Instruments_14,CFARG,42,1394,519,5.0,4.50489616394043,0.9999561309814453,0.9999806880950928
Amazon_Musical_Instruments_14,CFARG,42,1277,44,5.0,4.6822285652160645,0.999955415725708,0.999987006187439
Amazon_Musical_Instruments_14,CFARG,42,1175,592,5.0,4.503541469573975,0.9999868869781494,0.9999761581420898
Amazon_Musical_Instruments_14,CFARG,42,1343,823,5.0,4.6169233322143555,0.9999853372573853,0.9999897480010986
Amazon_Musical_Instruments_14,CFARG,42,145,457,4.0,5.0204362869262695,0.9999991655349731,0.9999755620956421
