dataset,model,seed,rmse,mae,best_epoch,config_path,checkpoint_path
Amazon_Musical_Instruments_14,CF-only,42,0.8463270664215088,0.6396227478981018,100,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_162335/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_162335/cfarg_best.pt
Amazon_Musical_Instruments_14,Whole-review fusion,42,0.8534297347068787,0.6262834072113037,14,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_162424/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_162424/cfarg_best.pt
Amazon_Musical_Instruments_14,CFARG,42,0.8543186187744141,0.625744640827179,11,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_162441/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_162441/cfarg_best.pt
Amazon_Musical_Instruments_14,CF-only,43,0.8455672264099121,0.6374180912971497,100,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_162459/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_162459/cfarg_best.pt
Amazon_Musical_Instruments_14,Whole-review fusion,43,0.8545342683792114,0.6300199627876282,13,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_162531/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_162531/cfarg_best.pt
Amazon_Musical_Instruments_14,CFARG,43,0.8579023480415344,0.636791467666626,10,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_162543/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_162543/cfarg_best.pt
Amazon_Musical_Instruments_14,CF-only,44,0.8465806245803833,0.6388591527938843,100,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_162602/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_162602/cfarg_best.pt
Amazon_Musical_Instruments_14,Whole-review fusion,44,0.8530964255332947,0.6296715140342712,13,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_162640/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_162640/cfarg_best.pt
Amazon_Musical_Instruments_14,CFARG,44,0.85123610496521,0.6201021075248718,14,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_162653/config.yaml,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_162653/cfarg_best.pt
Amazon_Office_Products_14,CF-only,42,0.8575996160507202,0.6363046169281006,54,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_162636/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_162636/cfarg_best.pt
Amazon_Office_Products_14,Whole-review fusion,42,0.8543369174003601,0.6342691779136658,7,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_162817/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_162817/cfarg_best.pt
Amazon_Office_Products_14,CFARG,42,0.8552022576332092,0.6347374320030212,5,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_162908/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_162908/cfarg_best.pt
Amazon_Office_Products_14,CF-only,43,0.8576420545578003,0.6369515061378479,56,./outputs/cfarg_Amazon_Office_Products_14_43_20260605_163009/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_43_20260605_163009/cfarg_best.pt
Amazon_Office_Products_14,Whole-review fusion,43,0.8548076152801514,0.6336591839790344,8,./outputs/cfarg_Amazon_Office_Products_14_43_20260605_163147/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_43_20260605_163147/cfarg_best.pt
Amazon_Office_Products_14,CFARG,43,0.8537537455558777,0.6269018650054932,7,./outputs/cfarg_Amazon_Office_Products_14_43_20260605_163220/config.yaml,./outputs/cfarg_Amazon_Office_Products_14_43_20260605_163220/cfarg_best.pt
